company_id,from_year,to_year,from_pattern,to_pattern
ICICIGI,2022,2023,Liquidating Assets,Shareholder Returns
ICICIPRULI,2014,2015,Other,Reinvestor
ICICIPRULI,2015,2016,Reinvestor,Liquidating Assets
ICICIPRULI,2016,2017,Liquidating Assets,Reinvestor
ICICIPRULI,2017,2018,Reinvestor,Shareholder Returns
ICICIPRULI,2020,2021,Shareholder Returns,Mixed
ICICIPRULI,2021,2022,Mixed,Shareholder Returns
ICICIPRULI,2023,2024,Shareholder Returns,Other
INDIGO,2014,2015,Mixed,Shareholder Returns
INDIGO,2017,2018,Shareholder Returns,Mixed
INDIGO,2018,2019,Mixed,Shareholder Returns
INDIGO,2019,2020,Shareholder Returns,Reinvestor
INDIGO,2020,2021,Reinvestor,Other
INDIGO,2021,2022,Other,Liquidating Assets
INDIGO,2022,2023,Liquidating Assets,Reinvestor
INDUSINDBK,2016,2017,Growth Funded by Debt,Reinvestor
INDUSINDBK,2017,2018,Reinvestor,Growth Funded by Debt
INDUSINDBK,2019,2020,Growth Funded by Debt,Distress Signal
INDUSINDBK,2020,2021,Distress Signal,Shareholder Returns
INDUSINDBK,2022,2023,Shareholder Returns,Growth Funded by Debt
INDUSINDBK,2023,2024,Growth Funded by Debt,Pre-Revenue
INFY,2014,2015,Reinvestor,Liquidating Assets
INFY,2015,2016,Liquidating Assets,Reinvestor
INFY,2017,2018,Reinvestor,Liquidating Assets
INFY,2018,2019,Liquidating Assets,Reinvestor
INFY,2021,2022,Reinvestor,Shareholder Returns
IOC,2013,2014,Mixed,Shareholder Returns
IOC,2018,2019,Shareholder Returns,Mixed
IOC,2020,2021,Mixed,Reinvestor
IRCTC,2015,2016,Reinvestor,Liquidating Assets
IRCTC,2018,2019,Liquidating Assets,Shareholder Returns
IRCTC,2019,2020,Shareholder Returns,Liquidating Assets
IRCTC,2020,2021,Liquidating Assets,Shareholder Returns
IRCTC,2021,2022,Shareholder Returns,Reinvestor
IRCTC,2022,2023,Reinvestor,Shareholder Returns
IRCTC,2023,2024,Shareholder Returns,Reinvestor
IRFC,2015,2016,Other,Distress Signal
IRFC,2020,2021,Distress Signal,Other
IRFC,2021,2022,Other,Growth Funded by Debt
IRFC,2022,2023,Growth Funded by Debt,Other
IRFC,2023,2024,Other,Reinvestor
ITC,2017,2018,Reinvestor,Shareholder Returns
ITC,2020,2021,Shareholder Returns,Liquidating Assets
ITC,2021,2022,Liquidating Assets,Shareholder Returns
ITC,2022,2023,Shareholder Returns,Reinvestor
ITC,2023,2024,Reinvestor,Liquidating Assets
