company_id,broad_sector,cluster_id,metric,metric_label,metric_value,sector_mean,sector_std,sector_count,z_score,abs_z_score,outlier_flag,handling
ADANIPOWER,Energy,0,capex_intensity_pct,Capex Intensity,6.913467,36.529155,59.038781,14,-0.501631,0.501631,False,computed
AMBUJACEM,Materials,0,net_profit_margin_pct,Net Profit Margin,14.288299,10.916177,8.131072,9,0.414721,0.414721,False,computed
AMBUJACEM,Materials,0,operating_profit_margin_pct,Operating Profit Margin,19.300362,31.761388,26.886179,9,-0.463473,0.463473,False,computed
AMBUJACEM,Materials,0,return_on_equity_pct,Return on Equity,11.428985,16.069204,14.417459,9,-0.321847,0.321847,False,computed
AMBUJACEM,Materials,0,debt_to_equity,Debt to Equity,0.016861,0.370539,0.417624,9,-0.84688,0.84688,False,computed
AMBUJACEM,Materials,0,return_on_capital_employed_pct,ROCE,18.505515,42.281564,40.609741,9,-0.585477,0.585477,False,computed
AMBUJACEM,Materials,0,asset_turnover,Asset Turnover,0.508114,0.805806,0.217015,9,-1.371759,1.371759,False,computed
AMBUJACEM,Materials,0,revenue_cagr_5yr,Revenue CAGR 5Yr,4.115701,9.119603,4.440099,9,-1.12698,1.12698,False,computed
AMBUJACEM,Materials,0,fcf_conversion_pct,FCF Conversion,-51.484375,9.854444,32.807634,9,-1.869651,1.869651,False,computed
AMBUJACEM,Materials,0,cfo_quality_score,CFO Quality Score,1.105127,1.481354,1.979169,9,-0.190094,0.190094,False,computed
AMBUJACEM,Materials,0,capex_intensity_pct,Capex Intensity,26.963209,10.683582,7.40191,9,2.199382,2.199382,False,computed
APOLLOHOSP,Healthcare,0,net_profit_margin_pct,Net Profit Margin,4.905819,16.09725,5.874497,6,-1.905087,1.905087,False,computed
APOLLOHOSP,Healthcare,0,operating_profit_margin_pct,Operating Profit Margin,12.560995,33.813647,21.510619,6,-0.988007,0.988007,False,computed
APOLLOHOSP,Healthcare,0,return_on_equity_pct,Return on Equity,13.480392,16.635887,4.542244,6,-0.694699,0.694699,False,computed
APOLLOHOSP,Healthcare,0,debt_to_equity,Debt to Equity,0.768887,0.249827,0.33733,6,1.538734,1.538734,False,computed
APOLLOHOSP,Healthcare,0,return_on_capital_employed_pct,ROCE,20.368408,32.155045,20.046062,6,-0.587978,0.587978,False,computed
APOLLOHOSP,Healthcare,0,asset_turnover,Asset Turnover,1.138394,0.744747,0.221416,6,1.777866,1.777866,False,computed
APOLLOHOSP,Healthcare,0,revenue_cagr_5yr,Revenue CAGR 5Yr,14.660043,10.698731,2.687796,6,1.473814,1.473814,False,computed
APOLLOHOSP,Healthcare,0,fcf_conversion_pct,FCF Conversion,15.998329,42.13186,39.57804,6,-0.660304,0.660304,False,computed
APOLLOHOSP,Healthcare,0,cfo_quality_score,CFO Quality Score,3.488462,1.793315,0.891238,6,1.902015,1.902015,False,computed
APOLLOHOSP,Healthcare,0,capex_intensity_pct,Capex Intensity,8.064432,6.754895,5.458638,6,0.239902,0.239902,False,computed
ASIANPAINT,Materials,0,net_profit_margin_pct,Net Profit Margin,15.658543,10.916177,8.131072,9,0.58324,0.58324,False,computed
ASIANPAINT,Materials,0,operating_profit_margin_pct,Operating Profit Margin,21.369207,31.761388,26.886179,9,-0.386525,0.386525,False,computed
ASIANPAINT,Materials,0,return_on_equity_pct,Return on Equity,29.677488,16.069204,14.417459,9,0.943875,0.943875,False,computed
ASIANPAINT,Materials,0,debt_to_equity,Debt to Equity,0.132102,0.370539,0.417624,9,-0.570937,0.570937,False,computed
ASIANPAINT,Materials,0,return_on_capital_employed_pct,ROCE,39.647203,42.281564,40.609741,9,-0.06487,0.06487,False,computed
ASIANPAINT,Materials,0,asset_turnover,Asset Turnover,1.187084,0.805806,0.217015,9,1.756919,1.756919,False,computed
ASIANPAINT,Materials,0,revenue_cagr_5yr,Revenue CAGR 5Yr,13.02966,9.119603,4.440099,9,0.880624,0.880624,False,computed
ASIANPAINT,Materials,0,fcf_conversion_pct,FCF Conversion,46.882004,9.854444,32.807634,9,1.128626,1.128626,False,computed
ASIANPAINT,Materials,0,cfo_quality_score,CFO Quality Score,0.932193,1.481354,1.979169,9,-0.277471,0.277471,False,computed
ASIANPAINT,Materials,0,capex_intensity_pct,Capex Intensity,7.178476,10.683582,7.40191,9,-0.473541,0.473541,False,computed
BAJAJ-AUTO,Consumer Discretionary,0,net_profit_margin_pct,Net Profit Margin,17.178516,11.500325,6.968452,14,0.814843,0.814843,False,computed
BAJAJ-AUTO,Consumer Discretionary,0,operating_profit_margin_pct,Operating Profit Margin,19.53421,25.536186,24.661573,14,-0.243374,0.243374,False,computed
BAJAJ-AUTO,Consumer Discretionary,0,return_on_equity_pct,Return on Equity,26.614184,86.724106,232.104483,14,-0.258978,0.258978,False,computed
BAJAJ-AUTO,Consumer Discretionary,0,debt_to_equity,Debt to Equity,0.066018,0.698619,1.0975,14,-0.576403,0.576403,False,computed
BAJAJ-AUTO,Consumer Discretionary,0,return_on_capital_employed_pct,ROCE,33.895835,441.11496,1497.893148,14,-0.271861,0.271861,False,computed
BAJAJ-AUTO,Consumer Discretionary,0,asset_turnover,Asset Turnover,1.140453,5.157839,14.752203,14,-0.272324,0.272324,False,computed
BAJAJ-AUTO,Consumer Discretionary,0,revenue_cagr_5yr,Revenue CAGR 5Yr,8.127605,13.604579,8.800016,14,-0.622382,0.622382,False,computed
BAJAJ-AUTO,Consumer Discretionary,0,fcf_conversion_pct,FCF Conversion,73.998859,24.626797,37.425658,14,1.319204,1.319204,False,computed
BAJAJ-AUTO,Consumer Discretionary,0,cfo_quality_score,CFO Quality Score,0.756663,0.178076,4.295602,14,0.134693,0.134693,False,computed
BAJAJ-AUTO,Consumer Discretionary,0,capex_intensity_pct,Capex Intensity,0.160464,5.868292,5.264319,14,-1.084248,1.084248,False,computed
AXISBANK,Financials,3,net_profit_margin_pct,Net Profit Margin,22.731304,38.238003,87.706652,23,-0.176802,0.176802,False,computed
AXISBANK,Financials,3,operating_profit_margin_pct,Operating Profit Margin,34.692646,53.425739,35.593822,22,-0.526302,0.526302,False,computed
AXISBANK,Financials,3,return_on_equity_pct,Return on Equity,15.832712,19.007093,13.021442,22,-0.243781,0.243781,False,computed
AXISBANK,Financials,3,debt_to_equity,Debt to Equity,8.249123,4.821046,4.225134,22,0.811354,0.811354,False,computed
AXISBANK,Financials,3,return_on_capital_employed_pct,ROCE,2.613327,81.288225,209.120203,21,-0.376219,0.376219,False,computed
AXISBANK,Financials,3,asset_turnover,Asset Turnover,0.072037,0.198326,0.309124,22,-0.408537,0.408537,False,computed
AXISBANK,Financials,3,revenue_cagr_5yr,Revenue CAGR 5Yr,14.743587,17.744843,5.304504,22,-0.565794,0.565794,False,computed
AXISBANK,Financials,3,fcf_conversion_pct,FCF Conversion,-38.362807,-132.589622,254.419738,22,0.37036,0.37036,False,computed
AXISBANK,Financials,3,cfo_quality_score,CFO Quality Score,4.970635,2.380893,8.557163,23,0.30264,0.30264,False,computed
AXISBANK,Financials,3,capex_intensity_pct,Capex Intensity,8.229937,14.614712,23.266484,23,-0.274419,0.274419,False,computed
BAJAJFINSV,Financials,3,net_profit_margin_pct,Net Profit Margin,14.128209,38.238003,87.706652,23,-0.274891,0.274891,False,computed
BAJAJFINSV,Financials,3,operating_profit_margin_pct,Operating Profit Margin,37.040459,53.425739,35.593822,22,-0.460341,0.460341,False,computed
BAJAJFINSV,Financials,3,return_on_equity_pct,Return on Equity,25.850351,19.007093,13.021442,22,0.525538,0.525538,False,computed
BAJAJFINSV,Financials,3,debt_to_equity,Debt to Equity,4.789368,4.821046,4.225134,22,-0.007497,0.007497,False,computed
BAJAJFINSV,Financials,3,return_on_capital_employed_pct,ROCE,11.705286,81.288225,209.120203,21,-0.332741,0.332741,False,computed
BAJAJFINSV,Financials,3,asset_turnover,Asset Turnover,0.205394,0.198326,0.309124,22,0.022867,0.022867,False,computed
BAJAJFINSV,Financials,3,revenue_cagr_5yr,Revenue CAGR 5Yr,20.972746,17.744843,5.304504,22,0.608521,0.608521,False,computed
BAJAJFINSV,Financials,3,fcf_conversion_pct,FCF Conversion,-194.770826,-132.589622,254.419738,22,-0.244404,0.244404,False,computed
BAJAJFINSV,Financials,3,cfo_quality_score,CFO Quality Score,-2.993664,2.380893,8.557163,23,-0.628077,0.628077,False,computed
